Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,KL Rahul,Punjab Kings,399,1.512,0.248,"$1,718,750","$2,823,982"
2,HV Patel,Royal Challengers Bangalore,330,1.250,0.246,"$31,250","$2,434,891"
3,RD Gaikwad,Chennai Super Kings,282,1.069,0.173,"$28,600","$2,166,091"
4,F du Plessis,Chennai Super Kings,281,1.065,0.198,"$250,000","$2,160,151"
5,S Dhawan,Delhi Capitals,234,0.887,0.171,"$812,500","$1,895,807"
6,SV Samson,Rajasthan Royals,181,0.688,0.141,"$1,250,000","$1,600,276"
7,GJ Maxwell,Royal Challengers Bangalore,179,0.679,0.170,"$2,035,700","$1,586,910"
8,Avesh Khan,Delhi Capitals,178,0.675,0.160,"$109,380","$1,580,969"
9,RR Pant,Delhi Capitals,167,0.632,0.136,"$2,343,750","$1,517,111"
10,MA Agarwal,Punjab Kings,164,0.620,0.129,"$156,250","$1,499,290"
11,VR Iyer,Kolkata Knight Riders,153,0.579,0.146,"$28,600","$1,438,402"
12,RA Jadeja,Chennai Super Kings,139,0.527,0.163,"$1,093,750","$1,361,178"
13,KS Williamson,Sunrisers Hyderabad,136,0.515,0.098,"$468,750","$1,343,357"
14,MK Pandey,Sunrisers Hyderabad,136,0.514,0.102,"$1,718,750","$1,341,872"
15,DJ Bravo,Chennai Super Kings,132,0.499,0.124,"$1,000,000","$1,319,595"
16,AD Russell,Kolkata Knight Riders,129,0.489,0.129,"$1,328,130","$1,304,745"
17,Arshdeep Singh,Punjab Kings,129,0.488,0.128,"$28,600","$1,303,259"
18,A Nortje,Delhi Capitals,129,0.487,0.103,"$28,600","$1,301,774"
19,LH Ferguson,Kolkata Knight Riders,128,0.484,0.103,"$228,600","$1,297,319"
20,PP Shaw,Delhi Capitals,126,0.477,0.119,"$187,500","$1,286,924"
21,AB de Villiers,Royal Challengers Bangalore,111,0.422,0.091,"$1,718,750","$1,205,244"
22,JJ Bumrah,Mumbai Indians,111,0.421,0.148,"$1,093,750","$1,203,759"
23,JO Holder,Sunrisers Hyderabad,106,0.402,0.139,"$105,000","$1,175,543"
24,KA Pollard,Mumbai Indians,106,0.400,0.130,"$843,750","$1,172,572"
25,Mohammed Shami,Punjab Kings,104,0.394,0.134,"$685,700","$1,163,662"
26,Shubman Gill,Kolkata Knight Riders,100,0.378,0.119,"$281,250","$1,139,901"
27,JM Bairstow,Sunrisers Hyderabad,97,0.366,0.075,"$314,300","$1,122,080"
28,YS Chahal,Royal Challengers Bangalore,95,0.359,0.131,"$937,500","$1,111,684"
29,SO Hetmyer,Delhi Capitals,91,0.344,0.074,"$1,107,100","$1,089,408"
30,D Padikkal,Royal Challengers Bangalore,83,0.315,0.111,"$28,600","$1,046,341"
31,JC Buttler,Rajasthan Royals,78,0.294,0.059,"$687,500","$1,015,154"
32,V Kohli,Royal Challengers Bangalore,77,0.293,0.102,"$2,656,250","$1,013,669"
33,RG Sharma,Mumbai Indians,65,0.248,0.098,"$2,343,750","$946,840"
34,KS Bharat,Royal Challengers Bangalore,65,0.246,0.062,"$16,667","$943,870"
35,SS Tiwary,Mumbai Indians,65,0.245,0.050,"$71,400","$942,385"
36,CR Woakes,Delhi Capitals,60,0.228,0.044,"$214,300","$917,139"
37,Harpreet Brar,Punjab Kings,56,0.212,0.075,"$28,600","$893,377"
38,Ravi Bishnoi,Punjab Kings,53,0.202,0.079,"$285,700","$878,526"
39,SS Iyer,Delhi Capitals,49,0.185,0.052,"$1,093,750","$853,280"
40,Q de Kock,Mumbai Indians,45,0.170,0.081,"$437,500","$831,004"
41,RA Tripathi,Kolkata Knight Riders,44,0.167,0.086,"$85,700","$826,549"
42,DA Warner,Sunrisers Hyderabad,44,0.166,0.059,"$1,953,130","$825,064"
43,N Rana,Kolkata Knight Riders,43,0.164,0.098,"$531,250","$822,093"
44,A Mishra,Delhi Capitals,42,0.160,0.042,"$625,000","$816,153"
45,MC Henriques,Punjab Kings,37,0.142,0.044,"$600,000","$789,422"
46,Imran Tahir,Chennai Super Kings,36,0.138,0.022,"$156,250","$783,481"
47,Shivam Mavi,Kolkata Knight Riders,30,0.113,0.085,"$468,750","$746,354"
48,AT Rayudu,Chennai Super Kings,29,0.110,0.067,"$343,750","$741,899"
49,E Lewis,Rajasthan Royals,25,0.094,0.040,"$593,750","$718,138"
50,Mujeeb Ur Rahman,Sunrisers Hyderabad,24,0.093,0.016,"$625,000","$716,653"
51,JJ Roy,Sunrisers Hyderabad,24,0.091,0.041,"$214,300","$713,682"
52,CA Lynn,Mumbai Indians,24,0.090,0.019,"$285,700","$712,197"
53,Rashid Khan,Sunrisers Hyderabad,22,0.082,0.140,"$1,406,250","$700,317"
54,PJ Cummins,Kolkata Knight Riders,18,0.069,0.098,"$2,214,300","$681,011"
55,Lalit Yadav,Delhi Capitals,17,0.066,0.047,"$28,600","$676,555"
56,CV Varun,Kolkata Knight Riders,15,0.056,0.102,"$1,200,000","$661,705"
57,RV Uthappa,Chennai Super Kings,14,0.054,0.031,"$428,600","$658,735"
58,Ishan Kishan,Mumbai Indians,14,0.053,0.058,"$968,750","$657,249"
59,SN Thakur,Chennai Super Kings,11,0.043,0.150,"$406,250","$642,399"
60,JDS Neesham,Mumbai Indians,10,0.037,0.030,"$71,400","$633,488"
61,KA Jamieson,Royal Challengers Bangalore,9,0.033,0.073,"$2,142,900","$627,548"
62,KM Asif,Chennai Super Kings,8,0.031,0.007,"$62,500","$624,578"
63,L Ngidi,Chennai Super Kings,4,0.015,0.024,"$78,130","$600,816"
64,NM Coulter-Nile,Mumbai Indians,4,0.015,0.047,"$714,300","$600,816"
65,TL Seifert,Kolkata Knight Riders,2,0.008,0.002,NA,"$590,421"
66,M Shahrukh Khan,Punjab Kings,2,0.007,0.049,"$750,000","$588,936"
67,SPD Smith,Delhi Capitals,2,0.007,0.039,"$314,300","$588,936"
68,DJ Malan,Punjab Kings,1,0.003,0.005,"$214,300","$582,995"
69,AK Markram,Punjab Kings,-2,-0.008,0.038,NA,"$566,660"
70,DA Miller,Rajasthan Royals,-2,-0.008,0.033,"$107,100","$566,660"
71,MK Lomror,Rajasthan Royals,-2,-0.009,0.030,"$31,250","$565,174"
72,KW Richardson,Royal Challengers Bangalore,-3,-0.011,0.005,"$571,400","$562,204"
73,YBK Jaiswal,Rajasthan Royals,-3,-0.012,0.052,"$342,900","$560,719"
74,TK Curran,Delhi Capitals,-3,-0.013,0.030,"$750,000","$559,234"
75,MM Ali,Chennai Super Kings,-4,-0.014,0.128,"$1,000,000","$557,749"
76,LI Meriwala,Delhi Capitals,-6,-0.022,0.005,NA,"$545,868"
77,Anmolpreet Singh,Mumbai Indians,-9,-0.035,0.004,"$114,300","$526,562"
78,Mandeep Singh,Punjab Kings,-10,-0.039,0.002,"$218,750","$520,622"
79,JR Hazlewood,Chennai Super Kings,-11,-0.040,0.075,"$285,700","$519,137"
80,AR Patel,Delhi Capitals,-11,-0.041,0.109,"$714,300","$517,652"
81,CJ Jordan,Punjab Kings,-12,-0.044,0.037,"$428,600","$513,197"
82,IC Porel,Punjab Kings,-12,-0.045,0.009,NA,"$511,712"
83,Abhishek Sharma,Sunrisers Hyderabad,-13,-0.051,0.051,"$85,940","$502,801"
84,S Sandeep Warrier,Kolkata Knight Riders,-15,-0.057,0.001,"$16,000","$493,891"
85,K Yadav,Rajasthan Royals,-16,-0.061,0.002,NA,"$487,950"
86,SK Raina,Chennai Super Kings,-16,-0.063,0.036,"$1,718,750","$484,980"
87,T Natarajan,Sunrisers Hyderabad,-17,-0.063,0.011,"$62,500","$484,980"
88,AM Rahane,Delhi Capitals,-17,-0.065,0.002,"$760,000","$482,010"
89,GD Phillips,Rajasthan Royals,-18,-0.069,0.016,NA,"$476,070"
90,Sachin Baby,Royal Challengers Bangalore,-18,-0.069,0.002,"$28,600","$476,070"
91,S Dube,Rajasthan Royals,-20,-0.075,0.063,"$628,600","$467,159"
92,M Prasidh Krishna,Kolkata Knight Riders,-20,-0.077,0.079,"$15,620","$464,189"
93,RV Patel,Delhi Capitals,-20,-0.077,0.010,"$28,600","$464,189"
94,TH David,Royal Challengers Bangalore,-24,-0.092,0.000,NA,"$441,913"
95,Anuj Rawat,Rajasthan Royals,-25,-0.096,0.000,"$114,300","$435,972"
96,M Markande,Rajasthan Royals,-26,-0.099,0.001,"$290,000","$431,517"
97,Jalaj S Saxena,Punjab Kings,-27,-0.102,0.001,"$42,900","$427,062"
98,KD Karthik,Kolkata Knight Riders,-29,-0.110,0.045,"$1,156,250","$415,181"
99,RM Patidar,Royal Challengers Bangalore,-30,-0.113,0.014,"$28,600","$410,726"
100,DR Sams,Royal Challengers Bangalore,-31,-0.117,0.009,NA,"$404,786"
101,Prabhsimran Singh,Punjab Kings,-31,-0.119,0.003,"$78,600","$401,816"
102,T Shamsi,Rajasthan Royals,-32,-0.121,0.002,NA,"$398,845"
103,Shahbaz Ahmed,Royal Challengers Bangalore,-33,-0.125,0.052,"$28,600","$392,905"
104,CH Gayle,Punjab Kings,-34,-0.129,0.045,"$312,500","$386,965"
105,AU Rashid,Punjab Kings,-35,-0.133,0.001,NA,"$381,024"
106,Kartik Tyagi,Rajasthan Royals,-35,-0.134,0.030,"$185,700","$379,539"
107,Virat Singh,Sunrisers Hyderabad,-35,-0.134,0.004,"$271,400","$379,539"
108,S Nadeem,Sunrisers Hyderabad,-36,-0.136,0.006,"$500,000","$376,569"
109,SA Yadav,Mumbai Indians,-36,-0.136,0.066,"$500,000","$376,569"
110,CH Morris,Rajasthan Royals,-37,-0.140,0.110,"$2,321,400","$370,629"
111,BA Stokes,Rajasthan Royals,-37,-0.141,0.000,"$1,953,130","$369,144"
112,PP Chawla,Mumbai Indians,-38,-0.144,0.002,"$342,900","$364,689"
113,Akash Singh,Rajasthan Royals,-39,-0.148,0.002,"$28,600","$358,748"
114,TG Southee,Kolkata Knight Riders,-40,-0.150,0.018,"$156,250","$355,778"
115,M Jansen,Mumbai Indians,-41,-0.155,0.012,"$28,600","$348,353"
116,Umran Malik,Sunrisers Hyderabad,-43,-0.161,0.016,NA,"$339,442"
117,DS Kulkarni,Mumbai Indians,-46,-0.174,0.002,"$110,000","$320,136"
118,KM Jadhav,Sunrisers Hyderabad,-46,-0.174,0.011,"$285,700","$320,136"
119,KL Nagarkoti,Kolkata Knight Riders,-50,-0.190,0.000,"$500,000","$296,375"
120,SN Khan,Punjab Kings,-50,-0.191,0.000,"$35,700","$294,890"
121,J Suchith,Sunrisers Hyderabad,-51,-0.193,0.006,"$42,900","$291,920"
122,Mustafizur Rahman,Rajasthan Royals,-51,-0.193,0.098,"$142,900","$291,920"
123,PK Garg,Sunrisers Hyderabad,-54,-0.205,0.013,"$271,400","$274,099"
124,K Rabada,Delhi Capitals,-56,-0.211,0.093,"$656,250","$265,188"
125,Harbhajan Singh,Kolkata Knight Riders,-57,-0.216,0.005,"$285,700","$257,763"
126,M Vohra,Rajasthan Royals,-59,-0.223,0.007,"$28,600","$247,367"
127,RP Meredith,Punjab Kings,-59,-0.224,0.027,"$1,142,900","$245,882"
128,AF Milne,Mumbai Indians,-62,-0.233,0.028,"$457,100","$232,516"
129,S Kaul,Sunrisers Hyderabad,-62,-0.233,0.044,"$593,750","$232,516"
130,MS Dhoni,Chennai Super Kings,-62,-0.237,0.028,"$2,343,750","$226,576"
131,TA Boult,Mumbai Indians,-64,-0.243,0.098,"$460,000","$217,666"
132,NT Ellis,Punjab Kings,-70,-0.265,0.016,NA,"$184,994"
133,WP Saha,Sunrisers Hyderabad,-71,-0.268,0.036,"$171,400","$180,539"
134,I Sharma,Delhi Capitals,-72,-0.272,0.007,"$157,100","$174,598"
135,Mohammed Siraj,Royal Challengers Bangalore,-72,-0.272,0.104,"$406,250","$174,598"
136,JA Richardson,Punjab Kings,-74,-0.280,0.026,"$2,000,000","$162,718"
137,NA Saini,Royal Challengers Bangalore,-74,-0.281,0.002,"$468,750","$161,233"
138,RD Chahar,Mumbai Indians,-74,-0.281,0.079,"$296,880","$161,233"
139,Abdul Samad,Sunrisers Hyderabad,-74,-0.282,0.028,"$28,600","$159,747"
140,JD Unadkat,Rajasthan Royals,-75,-0.283,0.043,"$428,600","$158,262"
141,GHS Garton,Royal Challengers Bangalore,-76,-0.286,0.019,NA,"$153,807"
142,MP Stoinis,Delhi Capitals,-76,-0.290,0.033,"$685,700","$147,867"
143,Mohammad Nabi,Sunrisers Hyderabad,-77,-0.293,0.012,"$156,250","$143,412"
144,DL Chahar,Chennai Super Kings,-82,-0.311,0.075,"$125,000","$116,680"
145,FA Allen,Punjab Kings,-83,-0.315,0.012,"$107,100","$110,740"
146,LS Livingstone,Rajasthan Royals,-84,-0.319,0.007,"$107,100","$104,799"
147,PWH de Silva,Royal Challengers Bangalore,-84,-0.319,0.003,NA,"$104,799"
148,SM Curran,Chennai Super Kings,-85,-0.320,0.073,"$785,700","$103,314"
149,V Shankar,Sunrisers Hyderabad,-85,-0.324,0.029,"$500,000","$97,374"
150,SP Narine,Kolkata Knight Riders,-89,-0.338,0.126,"$1,953,130","$76,583"
151,J Yadav,Mumbai Indians,-92,-0.349,0.026,"$78,130","$60,247"
152,HH Pandya,Mumbai Indians,-100,-0.379,0.028,"$1,718,750","$15,695"
153,M Ashwin,Punjab Kings,-102,-0.387,0.011,"$28,600","$3,814"
154,S Gopal,Rajasthan Royals,-102,-0.387,0.004,"$31,250","$3,814"
155,Washington Sundar,Royal Challengers Bangalore,-109,-0.414,0.031,"$500,000","$-36,283"
156,KK Ahmed,Sunrisers Hyderabad,-111,-0.421,0.032,"$468,750","$-46,679"
157,Sandeep Sharma,Sunrisers Hyderabad,-115,-0.437,0.020,"$468,750","$-70,440"
158,C Sakariya,Rajasthan Royals,-135,-0.511,0.100,"$171,400","$-180,336"
159,DT Christian,Royal Challengers Bangalore,-137,-0.519,0.026,"$234,380","$-192,217"
160,EJG Morgan,Kolkata Knight Riders,-144,-0.547,0.028,"$750,000","$-233,799"
161,R Ashwin,Delhi Capitals,-151,-0.572,0.057,"$1,100,000","$-270,926"
162,DJ Hooda,Punjab Kings,-152,-0.578,0.045,"$71,400","$-279,836"
163,R Parag,Rajasthan Royals,-154,-0.585,0.022,"$28,600","$-290,232"
164,Shakib Al Hasan,Kolkata Knight Riders,-163,-0.618,0.036,"$457,100","$-339,240"
165,N Pooran,Punjab Kings,-167,-0.633,0.011,"$600,000","$-361,516"
166,B Kumar,Sunrisers Hyderabad,-168,-0.636,0.055,"$1,328,130","$-365,971"
167,KH Pandya,Mumbai Indians,-208,-0.788,0.071,"$1,375,000","$-591,703"
168,R Tewatia,Rajasthan Royals,-228,-0.866,0.088,"$430,000","$-707,540"
