Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,Virat Kohli,Royal Challengers Bangalore,374,1.245,0.223,"$2,656,250","$1,576,696"
2,Ruturaj Gaikwad,Chennai Super Kings,296,0.985,0.172,"$28,600","$1,345,725"
3,Jasprit Bumrah,Mumbai Indians,271,0.900,0.188,"$1,093,750","$1,270,215"
4,Sunil Narine,Kolkata Knight Riders,269,0.894,0.225,"$1,953,130","$1,264,885"
5,Sanju Samson,Rajasthan Royals,252,0.837,0.149,"$1,250,000","$1,214,248"
6,Travis Head,Sunrisers Hyderabad,246,0.819,0.133,"$75,000","$1,198,258"
7,Sai Sudharsan,Gujarat Titans,240,0.799,0.152,NA,"$1,180,491"
8,Andre Russell,Kolkata Knight Riders,230,0.765,0.188,"$1,328,130","$1,150,287"
9,Riyan Parag,Rajasthan Royals,228,0.757,0.159,"$28,600","$1,143,180"
10,Matheesha Pathirana,Chennai Super Kings,219,0.728,0.134,NA,"$1,117,418"
11,Shashank Singh,Punjab Kings,209,0.694,0.118,"$42,900","$1,087,214"
12,Tristan Stubbs,Delhi Capitals,196,0.653,0.105,NA,"$1,050,791"
13,Nicholas Pooran,Lucknow Super Giants,191,0.635,0.126,"$600,000","$1,034,801"
14,Namboori Tilak Varma,Mumbai Indians,179,0.594,0.127,NA,"$998,379"
15,Varun Chakravarthy,Kolkata Knight Riders,156,0.520,0.140,"$1,200,000","$932,640"
16,Shivam Dube,Chennai Super Kings,146,0.484,0.105,"$628,600","$900,660"
17,Harshit Rana,Kolkata Knight Riders,136,0.452,0.126,NA,"$872,232"
18,Mukesh Kumar,Delhi Capitals,132,0.439,0.106,NA,"$860,684"
19,J Fraser-McGurk,None,129,0.430,0.075,NA,"$852,689"
20,Dinesh Karthik,Royal Challengers Bangalore,129,0.429,0.091,"$1,156,250","$851,800"
21,Rishab Pant,Delhi Capitals,126,0.420,0.117,"$2,343,750","$843,805"
22,Harshal Patel,Punjab Kings,124,0.411,0.138,"$31,250","$835,810"
23,Philip Salt,Kolkata Knight Riders,120,0.397,0.101,NA,"$823,373"
24,Mayank Yadav,Lucknow Super Giants,119,0.395,0.059,NA,"$821,596"
25,Lokesh Rahul,Lucknow Super Giants,116,0.385,0.118,"$1,718,750","$812,713"
26,Kuldeep Yadav,Delhi Capitals,113,0.374,0.127,"$28,600","$802,941"
27,Shubman Gill,Gujarat Titans,111,0.368,0.101,"$281,250","$797,611"
28,Heinrich Klaasen,Sunrisers Hyderabad,110,0.364,0.087,"$71,400","$794,057"
29,Mahendra Singh Dhoni,Chennai Super Kings,107,0.357,0.056,"$2,343,750","$787,839"
